state,created
unknown,"2016-12-16 19:33:22.148945"
unknown,"2016-12-16 19:48:11.516207"
5.4,"2016-12-20 01:30:30.798572"
5.2,"2016-12-20 02:00:30.774752"
5.7,"2016-12-20 02:30:30.743461"
4.3,"2016-12-20 03:00:30.710450"
unknown,"2016-12-20 04:24:37.091366"
5.7,"2016-12-20 04:30:30.700515"
3.8,"2016-12-20 05:00:30.774506"
1.9,"2016-12-20 05:30:30.764742"
2.7,"2016-12-20 06:00:30.715093"
3.0,"2016-12-20 06:30:30.741354"
1.6,"2016-12-20 07:00:30.748317"
2.7,"2016-12-20 07:30:30.760297"
2.2,"2016-12-20 08:00:30.733070"
1.9,"2016-12-20 08:30:30.722799"
2.7,"2016-12-20 09:00:30.750835"
2.4,"2016-12-20 09:30:30.741762"
2.2,"2016-12-20 10:00:30.662409"
2.7,"2016-12-20 10:30:30.745788"
2.4,"2016-12-20 11:00:30.788015"
6.0,"2016-12-20 11:30:30.747256"
4.3,"2016-12-20 12:00:30.724536"
5.4,"2016-12-20 12:30:30.762646"
2.7,"2016-12-20 13:00:30.756530"
5.7,"2016-12-20 13:30:30.752360"
3.3,"2016-12-20 14:00:30.762214"
4.9,"2016-12-20 14:30:30.798093"
4.6,"2016-12-20 15:00:30.748754"
5.2,"2016-12-20 15:30:30.764417"
5.7,"2016-12-20 16:00:30.703685"
0.8,"2016-12-20 17:00:30.757165"
2.2,"2016-12-20 17:30:30.752163"
unknown,"2016-12-20 17:48:05.743120"
1.1,"2016-12-20 18:00:30.719031"
unknown,"2016-12-20 21:07:56.030488"
unknown,"2016-12-20 23:16:04.185992"
5.4,"2016-12-20 23:30:30.700592"
4.9,"2016-12-21 00:00:30.745330"
0,"2016-12-21 00:30:30.707474"
0.8,"2016-12-21 01:00:30.736726"
6.0,"2016-12-21 01:30:30.746203"
6.2,"2016-12-21 02:00:30.765331"
unknown,"2016-12-21 02:03:42.573493"
unknown,"2016-12-21 02:04:21.873024"
unknown,"2016-12-21 02:16:02.530741"
unknown,"2016-12-21 02:32:17.069339"
unknown,"2016-12-21 02:34:22.175904"
unknown,"2016-12-21 03:00:45.331266"
unknown,"2016-12-21 03:21:31.005661"
unknown,"2016-12-21 03:24:50.653375"
6.2,"2016-12-21 03:30:30.747620"
3.5,"2016-12-21 04:00:30.780252"
6.2,"2016-12-21 04:30:30.773164"
5.4,"2016-12-21 05:00:30.751292"
4.6,"2016-12-21 05:30:30.735438"
4.9,"2016-12-21 06:00:30.765595"
5.7,"2016-12-21 06:30:30.757548"
3.5,"2016-12-21 07:00:30.762605"
6.2,"2016-12-21 07:30:30.753187"
4.9,"2016-12-21 08:00:30.752747"
6.2,"2016-12-21 08:30:30.766858"
3.5,"2016-12-21 09:00:30.767674"
6.5,"2016-12-21 09:30:30.751629"
5.2,"2016-12-21 10:00:30.751373"
6.0,"2016-12-21 10:30:30.771701"
2.4,"2016-12-21 11:00:30.708866"
6.0,"2016-12-21 11:30:30.777510"
4.6,"2016-12-21 12:00:30.721548"
3.0,"2016-12-21 12:30:30.725786"
4.6,"2016-12-21 13:00:30.751234"
6.5,"2016-12-21 13:30:30.766543"
3.8,"2016-12-21 14:00:30.743557"
6.2,"2016-12-21 14:30:30.865351"
5.2,"2016-12-21 15:00:30.754872"
6.0,"2016-12-21 15:30:30.750469"
2.7,"2016-12-21 16:00:30.764791"
5.7,"2016-12-21 16:30:30.728041"
2.7,"2016-12-21 17:00:30.762086"
6.0,"2016-12-21 17:30:30.760065"
3.8,"2016-12-21 18:00:30.713991"
6.0,"2016-12-21 18:30:31.129876"
4.9,"2016-12-21 19:00:30.753596"
0,"2016-12-21 19:30:30.750081"
3.8,"2016-12-21 20:00:30.753607"
4.9,"2016-12-21 20:30:30.739402"
3.5,"2016-12-21 21:00:30.764743"
6.2,"2016-12-21 21:30:30.761146"
4.9,"2016-12-21 22:00:30.734390"
6.0,"2016-12-21 22:30:30.730631"
5.4,"2016-12-21 23:00:30.756159"
1.1,"2016-12-21 23:31:00.632209"
3.3,"2016-12-22 00:00:30.776074"
5.7,"2016-12-22 00:30:30.755335"
4.3,"2016-12-22 01:00:30.755272"
6.2,"2016-12-22 01:30:30.727837"
5.4,"2016-12-22 02:00:30.764425"
6.0,"2016-12-22 02:30:30.728042"
3.8,"2016-12-22 03:00:30.778711"
6.2,"2016-12-22 03:30:30.755808"
4.9,"2016-12-22 04:00:30.752324"
2.4,"2016-12-22 04:30:30.748760"
4.3,"2016-12-22 05:00:30.891962"
6.2,"2016-12-22 05:30:30.733797"
5.2,"2016-12-22 06:00:30.688078"
2.2,"2016-12-22 06:30:30.735300"
5.2,"2016-12-22 07:30:30.748587"
1.9,"2016-12-22 08:00:30.731471"
3.8,"2016-12-22 08:30:30.777342"
1.9,"2016-12-22 09:00:30.747029"
6.0,"2016-12-22 09:30:30.783753"
1.4,"2016-12-22 10:00:30.698216"
0,"2016-12-22 10:30:30.749850"
1.4,"2016-12-22 11:00:30.750799"
1.9,"2016-12-22 11:30:30.753215"
1.4,"2016-12-22 12:00:30.738112"
2.2,"2016-12-22 12:30:30.728404"
1.9,"2016-12-22 13:00:30.752556"
3.0,"2016-12-22 13:30:30.755080"
2.4,"2016-12-22 14:00:30.714317"
1.1,"2016-12-22 15:00:30.755872"
1.9,"2016-12-22 15:30:30.759644"
4.9,"2016-12-22 16:00:30.722567"
1.6,"2016-12-22 16:31:00.639373"
1.9,"2016-12-22 17:30:30.764249"
1.4,"2016-12-22 18:01:00.637755"
3.0,"2016-12-22 18:30:30.752423"
1.4,"2016-12-22 19:00:30.742388"
2.4,"2016-12-22 19:30:30.754977"
2.7,"2016-12-22 20:00:30.771796"
5.7,"2016-12-22 20:30:30.745728"
4.9,"2016-12-22 21:00:30.758672"
unknown,"2016-12-22 21:18:17.689091"
unknown,"2016-12-22 21:20:52.836745"
5.2,"2016-12-22 21:30:31.246732"
unknown,"2016-12-22 21:33:41.423723"
4.1,"2016-12-22 22:00:30.747902"
6.0,"2016-12-22 22:30:30.769762"
3.0,"2016-12-22 23:00:30.778484"
5.7,"2016-12-22 23:30:30.786002"
6.0,"2016-12-23 00:00:30.761935"
5.4,"2016-12-23 00:30:30.780492"
3.5,"2016-12-23 01:00:30.762204"
